"","all_dat$OBJECTID","slope","aspect","dem","LivingBio","DeadBio","fireduration","GIS_ACRES","month_temp","week_temp","month_precip","week_precip","wind_speed","wind_max","month_humid","week_humid","all_dbr"
"1",20290,3.9135001,29.6144009,79.7919998,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,335
"2",20290,4.1738,91.5838013,142.3399963,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,81
"3",20290,11.4499998,96.2284012,119.8479996,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,362
"4",20290,1.8364201,10.8060999,97.1654968,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,255
"5",20290,12.0250998,95.1927032,128.8329926,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,88
"6",20290,7.6953402,96.7330017,116.8339996,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,491
"7",20290,6.6251602,183.3359985,134.2200012,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,417
"8",20290,12.2433996,346.0889893,95.0294037,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,149
"9",20290,9.94452,236.052002,91.2993011,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,709
"10",20290,4.3092098,16.0491009,147.552002,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,138
"11",20290,6.0216498,74.2375031,115.7429962,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,96
"12",20290,8.7108603,94.5636978,140.5099945,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,127
"13",20290,5.2048302,231.4309998,92.0578995,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,127
"14",20290,1.99422,306.2189941,140.8589935,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,152
"15",20290,13.8260002,153.0579987,89.4954987,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,242
"16",20290,14.2433004,290.2590027,138.7839966,0,0,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,363
